kind,repeat,count,index,metric,value
sample,0,2,0,concurrent_idle_rss_before_kib,10028.000000
sample,0,2,0,concurrent_idle_rss_after_kib,10028.000000
sample,0,2,0,concurrent_idle_session_rss_delta_per_session_kib,0.000000
sample,0,2,8,active_idle_connections,8.000000
sample,0,2,8,active_connection_rss_delta_kib,92.000000
sample,0,2,8,active_connection_rss_delta_per_connection_kib,11.500000
sample,0,2,0,concurrent_teardown_wall_ms,0.268084
sample,0,2,0,post_teardown_rss_delta_from_baseline_kib,112.000000
sample,0,2,0,post_connection_close_rss_delta_kib,0.000000
sample,1,2,0,sequential_create_ms,0.232624
sample,1,2,1,sequential_create_ms,0.174683
sample,1,2,0,sequential_create_wall_ms,0.422497
sample,1,2,0,sequential_idle_rss_before_kib,10140.000000
sample,1,2,0,sequential_idle_rss_after_kib,10140.000000
sample,1,2,0,sequential_idle_rss_delta_per_session_kib,0.000000
sample,1,2,0,sequential_teardown_wall_ms,0.388726
sample,1,2,1,concurrent_create_ms,0.294835
sample,1,2,0,concurrent_create_ms,0.317256
sample,1,2,0,concurrent_create_wall_ms,0.369056
sample,1,2,0,concurrent_idle_rss_before_kib,10140.000000
sample,1,2,0,concurrent_idle_rss_after_kib,10140.000000
sample,1,2,0,concurrent_idle_session_rss_delta_per_session_kib,0.000000
sample,1,2,8,active_idle_connections,8.000000
sample,1,2,8,active_connection_rss_delta_kib,0.000000
sample,1,2,8,active_connection_rss_delta_per_connection_kib,0.000000
sample,1,2,0,concurrent_teardown_wall_ms,0.410597
sample,1,2,0,post_teardown_rss_delta_from_baseline_kib,12.000000
sample,1,2,0,post_connection_close_rss_delta_kib,0.000000
sample,2,2,0,sequential_create_ms,0.291745
sample,2,2,1,sequential_create_ms,0.217703
sample,2,2,0,sequential_create_wall_ms,0.527999
sample,2,2,0,sequential_idle_rss_before_kib,10152.000000
sample,2,2,0,sequential_idle_rss_after_kib,10152.000000
sample,2,2,0,sequential_idle_rss_delta_per_session_kib,0.000000
sample,2,2,0,sequential_teardown_wall_ms,0.300005
sample,2,2,0,concurrent_create_ms,0.296345
sample,2,2,1,concurrent_create_ms,0.292645
sample,2,2,0,concurrent_create_wall_ms,0.353956
sample,2,2,0,concurrent_idle_rss_before_kib,10152.000000
