kind,repeat,count,index,metric,value
sample,0,2,0,concurrent_idle_rss_before_kib,11844.000000
sample,0,2,0,concurrent_idle_rss_after_kib,11844.000000
sample,0,2,0,concurrent_idle_session_rss_delta_per_session_kib,0.000000
sample,0,2,8,active_idle_connections,8.000000
sample,0,2,8,active_connection_rss_delta_kib,124.000000
sample,0,2,8,active_connection_rss_delta_per_connection_kib,15.500000
sample,0,2,0,concurrent_teardown_wall_ms,0.446537
sample,0,2,0,post_teardown_rss_delta_from_baseline_kib,124.000000
sample,0,2,0,post_connection_close_rss_delta_kib,0.000000
sample,1,2,0,sequential_create_ms,0.283105
sample,1,2,1,sequential_create_ms,0.217704
sample,1,2,0,sequential_create_wall_ms,0.519149
sample,1,2,0,sequential_idle_rss_before_kib,11968.000000
sample,1,2,0,sequential_idle_rss_after_kib,11968.000000
sample,1,2,0,sequential_idle_rss_delta_per_session_kib,0.000000
sample,1,2,0,sequential_teardown_wall_ms,0.317155
sample,1,2,0,concurrent_create_ms,0.219513
sample,1,2,1,concurrent_create_ms,0.314475
sample,1,2,0,concurrent_create_wall_ms,0.412246
sample,1,2,0,concurrent_idle_rss_before_kib,11968.000000
sample,1,2,0,concurrent_idle_rss_after_kib,11968.000000
sample,1,2,0,concurrent_idle_session_rss_delta_per_session_kib,0.000000
sample,1,2,8,active_idle_connections,8.000000
sample,1,2,8,active_connection_rss_delta_kib,16.000000
sample,1,2,8,active_connection_rss_delta_per_connection_kib,2.000000
sample,1,2,0,concurrent_teardown_wall_ms,0.408146
sample,1,2,0,post_teardown_rss_delta_from_baseline_kib,16.000000
sample,1,2,0,post_connection_close_rss_delta_kib,0.000000
sample,2,2,0,sequential_create_ms,0.273305
sample,2,2,1,sequential_create_ms,0.205643
sample,2,2,0,sequential_create_wall_ms,0.497038
sample,2,2,0,sequential_idle_rss_before_kib,11984.000000
sample,2,2,0,sequential_idle_rss_after_kib,11984.000000
sample,2,2,0,sequential_idle_rss_delta_per_session_kib,0.000000
sample,2,2,0,sequential_teardown_wall_ms,0.268125
sample,2,2,0,concurrent_create_ms,0.297295
sample,2,2,1,concurrent_create_ms,0.292585
sample,2,2,0,concurrent_create_wall_ms,0.357296
sample,2,2,0,concurrent_idle_rss_before_kib,11984.000000
sample,2,2,0,concurrent_idle_rss_after_kib,11984.000000
sample,2,2,0,concurrent_idle_session_rss_delta_per_session_kib,0.000000
sample,2,2,8,active_idle_connections,8.000000
sample,2,2,8,active_connection_rss_delta_kib,0.000000
sample,2,2,8,active_connection_rss_delta_per_connection_kib,0.000000
sample,2,2,0,concurrent_teardown_wall_ms,0.334816
sample,2,2,0,post_teardown_rss_delta_from_baseline_kib,0.000000
sample,2,2,0,post_connection_close_rss_delta_kib,0.000000
sample,3,2,0,sequential_create_ms,0.239004
sample,3,2,1,sequential_create_ms,0.199883
sample,3,2,0,sequential_create_wall_ms,0.456478
sample,3,2,0,sequential_idle_rss_before_kib,11984.000000
sample,3,2,0,sequential_idle_rss_after_kib,11984.000000
sample,3,2,0,sequential_idle_rss_delta_per_session_kib,0.000000
sample,3,2,0,sequential_teardown_wall_ms,0.495438
sample,3,2,1,concurrent_create_ms,0.208493
sample,3,2,0,concurrent_create_ms,0.385277
sample,3,2,0,concurrent_create_wall_ms,0.425617
sample,3,2,0,concurrent_idle_rss_before_kib,11984.000000
sample,3,2,0,concurrent_idle_rss_after_kib,11984.000000
sample,3,2,0,concurrent_idle_session_rss_delta_per_session_kib,0.000000
sample,3,2,8,active_idle_connections,8.000000
sample,3,2,8,active_connection_rss_delta_kib,0.000000
sample,3,2,8,active_connection_rss_delta_per_connection_kib,0.000000
sample,3,2,0,concurrent_teardown_wall_ms,0.407277
sample,3,2,0,post_teardown_rss_delta_from_baseline_kib,0.000000
sample,3,2,0,post_connection_close_rss_delta_kib,0.000000
sample,4,2,0,sequential_create_ms,0.264264
sample,4,2,1,sequential_create_ms,0.202524
sample,4,2,0,sequential_create_wall_ms,0.485628
sample,4,2,0,sequential_idle_rss_before_kib,11984.000000
sample,4,2,0,sequential_idle_rss_after_kib,11984.000000
sample,4,2,0,sequential_idle_rss_delta_per_session_kib,0.000000
sample,4,2,0,sequential_teardown_wall_ms,0.262894
sample,4,2,1,concurrent_create_ms,0.276025
sample,4,2,0,concurrent_create_ms,0.296945
sample,4,2,0,concurrent_create_wall_ms,0.342405
sample,4,2,0,concurrent_idle_rss_before_kib,11988.000000
sample,4,2,0,concurrent_idle_rss_after_kib,11988.000000
sample,4,2,0,concurrent_idle_session_rss_delta_per_session_kib,0.000000
sample,4,2,8,active_idle_connections,8.000000
sample,4,2,8,active_connection_rss_delta_kib,0.000000
sample,4,2,8,active_connection_rss_delta_per_connection_kib,0.000000
sample,4,2,0,concurrent_teardown_wall_ms,0.315626
sample,4,2,0,post_teardown_rss_delta_from_baseline_kib,0.000000
sample,4,2,0,post_connection_close_rss_delta_kib,0.000000
sample,0,4,0,sequential_create_ms,0.230804
sample,0,4,1,sequential_create_ms,0.205753
sample,0,4,2,sequential_create_ms,0.226824
sample,0,4,3,sequential_create_ms,0.214304
sample,0,4,0,sequential_create_wall_ms,0.913525
sample,0,4,0,sequential_idle_rss_before_kib,11988.000000
sample,0,4,0,sequential_idle_rss_after_kib,11988.000000
sample,0,4,0,sequential_idle_rss_delta_per_session_kib,0.000000
sample,0,4,0,sequential_teardown_wall_ms,0.471308
sample,0,4,2,concurrent_create_ms,0.550929
sample,0,4,3,concurrent_create_ms,0.548988
sample,0,4,0,concurrent_create_ms,0.598730
sample,0,4,1,concurrent_create_ms,0.579490
sample,0,4,0,concurrent_create_wall_ms,0.644920
sample,0,4,0,concurrent_idle_rss_before_kib,11988.000000
sample,0,4,0,concurrent_idle_rss_after_kib,11988.000000
sample,0,4,0,concurrent_idle_session_rss_delta_per_session_kib,0.000000
sample,0,4,16,active_idle_connections,16.000000
sample,0,4,16,active_connection_rss_delta_kib,304.000000
sample,0,4,16,active_connection_rss_delta_per_connection_kib,19.000000
sample,0,4,0,concurrent_teardown_wall_ms,0.544869
sample,0,4,0,post_teardown_rss_delta_from_baseline_kib,304.000000
sample,0,4,0,post_connection_close_rss_delta_kib,0.000000
sample,1,4,0,sequential_create_ms,0.281645
sample,1,4,1,sequential_create_ms,0.221734
sample,1,4,2,sequential_create_ms,0.225214
sample,1,4,3,sequential_create_ms,0.226734
